Rainfall - (MM), Year, Statistics, Country, ISO3
78.8901, 1930, Mar Average, Bahamas, The, BHS
123.531, 1930, Apr Average, Bahamas, The, BHS
131.105, 1930, May Average, Bahamas, The, BHS
224.624, 1930, Jun Average, Bahamas, The, BHS
141.705, 1930, Jul Average, Bahamas, The, BHS
106.521, 1930, Aug Average, Bahamas, The, BHS
115.209, 1930, Sep Average, Bahamas, The, BHS
124.925, 1930, Oct Average, Bahamas, The, BHS
55.6967, 1930, Nov Average, Bahamas, The, BHS
29.8214, 1930, Dec Average, Bahamas, The, BHS
75.9887, 1931, Jan Average, Bahamas, The, BHS
57.8916, 1931, Feb Average, Bahamas, The, BHS
102.251, 1931, Mar Average, Bahamas, The, BHS
142.582, 1931, Apr Average, Bahamas, The, BHS
146.917, 1931, May Average, Bahamas, The, BHS
53.9912, 1931, Jun Average, Bahamas, The, BHS
69.212, 1931, Jul Average, Bahamas, The, BHS
92.2641, 1931, Aug Average, Bahamas, The, BHS
162.291, 1931, Sep Average, Bahamas, The, BHS
129.295, 1931, Oct Average, Bahamas, The, BHS
115.783, 1931, Nov Average, Bahamas, The, BHS
20.4558, 1931, Dec Average, Bahamas, The, BHS
42.5, 1932, Jan Average, Bahamas, The, BHS
66.4324, 1932, Feb Average, Bahamas, The, BHS
84.9484, 1932, Mar Average, Bahamas, The, BHS
98.7857, 1932, Apr Average, Bahamas, The, BHS
230.038, 1932, May Average, Bahamas, The, BHS
201.613, 1932, Jun Average, Bahamas, The, BHS
58.9327, 1932, Jul Average, Bahamas, The, BHS
124.822, 1932, Aug Average, Bahamas, The, BHS
87.2688, 1932, Sep Average, Bahamas, The, BHS
78.448, 1932, Oct Average, Bahamas, The, BHS
72.7509, 1932, Nov Average, Bahamas, The, BHS
38.0033, 1932, Dec Average, Bahamas, The, BHS
18.053, 1933, Jan Average, Bahamas, The, BHS
17.9361, 1933, Feb Average, Bahamas, The, BHS
37.0158, 1933, Mar Average, Bahamas, The, BHS
66.5958, 1933, Apr Average, Bahamas, The, BHS
121.132, 1933, May Average, Bahamas, The, BHS
136.837, 1933, Jun Average, Bahamas, The, BHS
109.962, 1933, Jul Average, Bahamas, The, BHS
120.316, 1933, Aug Average, Bahamas, The, BHS
120.918, 1933, Sep Average, Bahamas, The, BHS
154.245, 1933, Oct Average, Bahamas, The, BHS
66.886, 1933, Nov Average, Bahamas, The, BHS
22.5137, 1933, Dec Average, Bahamas, The, BHS
33.729, 1934, Jan Average, Bahamas, The, BHS
70.9447, 1934, Feb Average, Bahamas, The, BHS
35.6837, 1934, Mar Average, Bahamas, The, BHS
127.781, 1934, Apr Average, Bahamas, The, BHS
266.876, 1934, May Average, Bahamas, The, BHS
138.778, 1934, Jun Average, Bahamas, The, BHS
94.3002, 1934, Jul Average, Bahamas, The, BHS
132.512, 1934, Aug Average, Bahamas, The, BHS
197.288, 1934, Sep Average, Bahamas, The, BHS
93.7387, 1934, Oct Average, Bahamas, The, BHS
42.4825, 1934, Nov Average, Bahamas, The, BHS
30.1503, 1934, Dec Average, Bahamas, The, BHS
15.9673, 1935, Jan Average, Bahamas, The, BHS
19.0216, 1935, Feb Average, Bahamas, The, BHS
19.9851, 1935, Mar Average, Bahamas, The, BHS
135.445, 1935, Apr Average, Bahamas, The, BHS
104.811, 1935, May Average, Bahamas, The, BHS
170.617, 1935, Jun Average, Bahamas, The, BHS
144.374, 1935, Jul Average, Bahamas, The, BHS
112.013, 1935, Aug Average, Bahamas, The, BHS
180.593, 1935, Sep Average, Bahamas, The, BHS
158.009, 1935, Oct Average, Bahamas, The, BHS
31.3732, 1935, Nov Average, Bahamas, The, BHS
40.5559, 1935, Dec Average, Bahamas, The, BHS
32.8613, 1936, Jan Average, Bahamas, The, BHS
96.0006, 1936, Feb Average, Bahamas, The, BHS
90.327, 1936, Mar Average, Bahamas, The, BHS
104.339, 1936, Apr Average, Bahamas, The, BHS
136.264, 1936, May Average, Bahamas, The, BHS
