Temperature - (Celsius), Year, Statistics, Country, ISO3
22.7713, 1927, Sep Average, Tanzania, United Republic of, TZA
24.2404, 1927, Oct Average, Tanzania, United Republic of, TZA
23.7386, 1927, Nov Average, Tanzania, United Republic of, TZA
23.3713, 1927, Dec Average, Tanzania, United Republic of, TZA
23.9411, 1928, Jan Average, Tanzania, United Republic of, TZA
24.1007, 1928, Feb Average, Tanzania, United Republic of, TZA
23.5315, 1928, Mar Average, Tanzania, United Republic of, TZA
23.3846, 1928, Apr Average, Tanzania, United Republic of, TZA
21.581, 1928, May Average, Tanzania, United Republic of, TZA
20.6513, 1928, Jun Average, Tanzania, United Republic of, TZA
19.0988, 1928, Jul Average, Tanzania, United Republic of, TZA
20.9133, 1928, Aug Average, Tanzania, United Republic of, TZA
22.99, 1928, Sep Average, Tanzania, United Republic of, TZA
24.1627, 1928, Oct Average, Tanzania, United Republic of, TZA
24.064, 1928, Nov Average, Tanzania, United Republic of, TZA
23.3063, 1928, Dec Average, Tanzania, United Republic of, TZA
21.3371, 1929, Jan Average, Tanzania, United Republic of, TZA
22.0925, 1929, Feb Average, Tanzania, United Republic of, TZA
21.9138, 1929, Mar Average, Tanzania, United Republic of, TZA
20.5114, 1929, Apr Average, Tanzania, United Republic of, TZA
19.401, 1929, May Average, Tanzania, United Republic of, TZA
18.385, 1929, Jun Average, Tanzania, United Republic of, TZA
18.407, 1929, Jul Average, Tanzania, United Republic of, TZA
18.7111, 1929, Aug Average, Tanzania, United Republic of, TZA
20.201, 1929, Sep Average, Tanzania, United Republic of, TZA
21.6688, 1929, Oct Average, Tanzania, United Republic of, TZA
21.6542, 1929, Nov Average, Tanzania, United Republic of, TZA
21.0232, 1929, Dec Average, Tanzania, United Republic of, TZA
21.5868, 1930, Jan Average, Tanzania, United Republic of, TZA
21.2421, 1930, Feb Average, Tanzania, United Republic of, TZA
21.2544, 1930, Mar Average, Tanzania, United Republic of, TZA
20.6341, 1930, Apr Average, Tanzania, United Republic of, TZA
19.8292, 1930, May Average, Tanzania, United Republic of, TZA
18.1272, 1930, Jun Average, Tanzania, United Republic of, TZA
18.4459, 1930, Jul Average, Tanzania, United Republic of, TZA
19.4979, 1930, Aug Average, Tanzania, United Republic of, TZA
21.3202, 1930, Sep Average, Tanzania, United Republic of, TZA
21.6606, 1930, Oct Average, Tanzania, United Republic of, TZA
22.0198, 1930, Nov Average, Tanzania, United Republic of, TZA
21.6656, 1930, Dec Average, Tanzania, United Republic of, TZA
